# Alien Soldier ROM binary data segments (binclude addresses)
# Format: name,start,end,subdir
# Generated from alien_soldier_j.lst

# === Compressed tiles (LZSS) (artcomp/) ===
tiles_1814D4,0x1814D4,0x182C9C,artcomp
tiles_1850C6,0x1850C6,0x185268,artcomp
tiles_18530A,0x18530A,0x1885A4,artcomp
tiles_189E4C,0x189E4C,0x18B04A,artcomp
tiles_18B14C,0x18B14C,0x18B2FA,artcomp
tiles_18B2FA,0x18B2FA,0x18BE42,artcomp
tiles_18D650,0x18D650,0x18DA38,artcomp
tiles_18E5D2,0x18E5D2,0x19051C,artcomp
tiles_19051C,0x19051C,0x1912EC,artcomp
tiles_1912EC,0x1912EC,0x192C38,artcomp
tiles_1942B8,0x1942B8,0x19794C,artcomp
tiles_198E2C,0x198E2C,0x19AEA6,artcomp
tiles_19AEA6,0x19AEA6,0x19AF40,artcomp
tiles_19BAB4,0x19BAB4,0x19BC68,artcomp
tiles_19BC68,0x19BC68,0x19BE86,artcomp
tiles_19BE86,0x19BE86,0x19BF9E,artcomp
tiles_19BF9E,0x19BF9E,0x19C4A4,artcomp
tiles_19C77E,0x19C77E,0x19E8A8,artcomp
tiles_19E8A8,0x19E8A8,0x19FACA,artcomp
tiles_1A1026,0x1A1026,0x1A2840,artcomp
tiles_1A2C46,0x1A2C46,0x1A6276,artcomp
tiles_1A752A,0x1A752A,0x1A8B30,artcomp
tiles_1A8F0E,0x1A8F0E,0x1A9AD8,artcomp
tiles_1A9CC4,0x1A9CC4,0x1ABB28,artcomp
tiles_1ACB68,0x1ACB68,0x1AF030,artcomp
tiles_1AF666,0x1AF666,0x1B0BE8,artcomp
tiles_1B0F08,0x1B0F08,0x1B1090,artcomp
tiles_1B10FA,0x1B10FA,0x1B33E8,artcomp
tiles_1B3A9E,0x1B3A9E,0x1B3EDE,artcomp
tiles_1B5466,0x1B5466,0x1B6C40,artcomp
tiles_1B6F86,0x1B6F86,0x1B82E8,artcomp
tiles_1B8CBC,0x1B8CBC,0x1BB632,artcomp
tiles_1BBC4E,0x1BBC4E,0x1BCFFE,artcomp
tiles_1BE762,0x1BE762,0x1C09B2,artcomp
tiles_1C1A94,0x1C1A94,0x1C2934,artcomp
tiles_1C2B90,0x1C2B90,0x1C5506,artcomp
tiles_1C5DE4,0x1C5DE4,0x1C65FA,artcomp
tiles_1C67BE,0x1C67BE,0x1C8C34,artcomp
tiles_1C92B0,0x1C92B0,0x1C9FDC,artcomp
tiles_1CA32E,0x1CA32E,0x1CD746,artcomp
tiles_1CE2E0,0x1CE2E0,0x1CE4F8,artcomp
tiles_1CE516,0x1CE516,0x1CEC6C,artcomp
tiles_1CECB4,0x1CECB4,0x1CF762,artcomp
tiles_F10A4,0xF10A4,0xF276E,artcomp

# === Uncompressed tiles/sprites (artunc/) ===
font,0xED7A4,0xF10A4,artunc
font_japanese,0x1412B6,0x14A636,artunc
sega,0xE8080,0xE8680,artunc
sprite_F2826,0xF2826,0xF2A28,artunc
sprite_F2A4A,0xF2A4A,0xF2BCC,artunc
sprite_F2D34,0xF2D34,0xF2EB6,artunc
sprite_F2F5A,0xF2F5A,0xF30DC,artunc
sprite_F31E2,0xF31E2,0xF3364,artunc
sprite_F346A,0xF346A,0xF35EC,artunc
sprite_F36B2,0xF36B2,0xF3834,artunc
sprite_F393A,0xF393A,0xF3B3C,artunc
sprite_F3C44,0xF3C44,0xF3E46,artunc
sprite_F3F4C,0xF3F4C,0xF40CE,artunc
sprite_F4236,0xF4236,0xF43B8,artunc
sprite_F4620,0xF4620,0xF47A2,artunc
sprite_F49CC,0xF49CC,0xF4B4E,artunc
sprite_F4D16,0xF4D16,0xF4E98,artunc
sprite_F5022,0xF5022,0xF51A4,artunc
sprite_F5206,0xF5206,0xF5308,artunc
sprite_F536C,0xF536C,0xF54EE,artunc
sprite_F57F8,0xF57F8,0xF58FA,artunc
sprite_F5B44,0xF5B44,0xF5C46,artunc
sprite_F5D6C,0xF5D6C,0xF5EEE,artunc
sprite_F6078,0xF6078,0xF627A,artunc
sprite_F62DE,0xF62DE,0xF6460,artunc
sprite_F660A,0xF660A,0xF672C,artunc
sprite_F6ADE,0xF6ADE,0xF6BE0,artunc
sprite_F6BE0,0xF6BE0,0xF6D62,artunc
sprite_F6E28,0xF6E28,0xF6F2A,artunc
sprite_F72FA,0xF72FA,0xF74FC,artunc
sprite_F778A,0xF778A,0xF788C,artunc
sprite_F7B76,0xF7B76,0xF7C78,artunc
sprite_F7C78,0xF7C78,0xF7D7A,artunc
sprite_F7DBC,0xF7DBC,0xF7EBE,artunc
sprite_F7F00,0xF7F00,0xF8102,artunc
sprite_F8166,0xF8166,0xF8368,artunc
sprite_F83AA,0xF83AA,0xF85AC,artunc
sprite_F8736,0xF8736,0xF88B8,artunc
sprite_F893C,0xF893C,0xF8ABE,artunc
sprite_F8B00,0xF8B00,0xF8C02,artunc
sprite_F8D86,0xF8D86,0xF8EAA,artunc
sprite_F8EAA,0xF8EAA,0xF902C,artunc
sprite_F90D0,0xF90D0,0xF91D2,artunc
sprite_F933A,0xF933A,0xF94BC,artunc
sprite_F95E0,0xF95E0,0xF9762,artunc
sprite_F9762,0xF9762,0xF9864,artunc
sprite_F9864,0xF9864,0xF99E6,artunc
sprite_F9A48,0xF9A48,0xF9B4A,artunc
sprite_F9B8E,0xF9B8E,0xF9D10,artunc
sprite_F9E34,0xF9E34,0xF9F56,artunc
sprite_F9FDA,0xF9FDA,0xFA0DC,artunc
sprite_FA2C6,0xFA2C6,0xFA3C8,artunc
sprite_FA4CE,0xFA4CE,0xFA5D0,artunc
sprite_FA754,0xFA754,0xFA876,artunc
sprite_FA97A,0xFA97A,0xFAA9C,artunc
sprite_FAB80,0xFAB80,0xFAD02,artunc
sprite_FAE06,0xFAE06,0xFAF08,artunc
sprite_FB0AE,0xFB0AE,0xFB2B0,artunc
sprite_FB376,0xFB376,0xFB578,artunc
sprite_FB67C,0xFB67C,0xFB7FE,artunc
sprite_FB966,0xFB966,0xFBAE8,artunc
sprite_FBB2A,0xFBB2A,0xFBCAC,artunc
sprite_FBCAC,0xFBCAC,0xFBDAE,artunc
sprite_FBEF6,0xFBEF6,0xFBFF8,artunc
sprite_FC0BA,0xFC0BA,0xFC23C,artunc
sprite_FC23C,0xFC23C,0xFC3BE,artunc
sprite_FC4A2,0xFC4A2,0xFC5A4,artunc
sprite_FC5A4,0xFC5A4,0xFC6A6,artunc
sprite_FC912,0xFC912,0xFCA94,artunc
sprite_FCA94,0xFCA94,0xFCBB6,artunc
sprite_FCBB6,0xFCBB6,0xFCD38,artunc
sprite_FCFC2,0xFCFC2,0xFD0C4,artunc
sprite_FD30E,0xFD30E,0xFD62E,artunc
sprite_FD62E,0xFD62E,0xFD86E,artunc
sprite_FD86E,0xFD86E,0xFDB8E,artunc
sprite_FE78E,0xFE78E,0xFEB6E,artunc
sprite_F2A28,0xF2A28,0xF2A4A,artunc
sprite_F2BCC,0xF2BCC,0xF2C8E,artunc
sprite_F2C8E,0xF2C8E,0xF2CD0,artunc
sprite_F2CD0,0xF2CD0,0xF2CF2,artunc
sprite_F2CF2,0xF2CF2,0xF2D34,artunc
sprite_F2EB6,0xF2EB6,0xF2F18,artunc
sprite_F2F18,0xF2F18,0xF2F5A,artunc
sprite_F30DC,0xF30DC,0xF313E,artunc
sprite_F313E,0xF313E,0xF31C0,artunc
sprite_F31C0,0xF31C0,0xF31E2,artunc
sprite_F3364,0xF3364,0xF33C6,artunc
sprite_F33C6,0xF33C6,0xF3448,artunc
sprite_F3448,0xF3448,0xF346A,artunc
sprite_F35EC,0xF35EC,0xF364E,artunc
sprite_F364E,0xF364E,0xF3690,artunc
sprite_F3690,0xF3690,0xF36B2,artunc
sprite_F3834,0xF3834,0xF3896,artunc
sprite_F3896,0xF3896,0xF38D8,artunc
sprite_F38D8,0xF38D8,0xF393A,artunc
sprite_F3B3C,0xF3B3C,0xF3B9E,artunc
sprite_F3B9E,0xF3B9E,0xF3BE0,artunc
sprite_F3BE0,0xF3BE0,0xF3C02,artunc
sprite_F3C02,0xF3C02,0xF3C44,artunc
sprite_F3E46,0xF3E46,0xF3EA8,artunc
sprite_F3EA8,0xF3EA8,0xF3F0A,artunc
sprite_F3F0A,0xF3F0A,0xF3F4C,artunc
sprite_F40CE,0xF40CE,0xF4130,artunc
sprite_F4130,0xF4130,0xF4192,artunc
sprite_F4192,0xF4192,0xF41D4,artunc
sprite_F41D4,0xF41D4,0xF4236,artunc
sprite_F43B8,0xF43B8,0xF441A,artunc
sprite_F441A,0xF441A,0xF44DC,artunc
sprite_F44DC,0xF44DC,0xF459E,artunc
sprite_F459E,0xF459E,0xF4620,artunc
sprite_F47A2,0xF47A2,0xF4804,artunc
sprite_F4804,0xF4804,0xF4886,artunc
sprite_F4886,0xF4886,0xF4908,artunc
sprite_F4908,0xF4908,0xF498A,artunc
sprite_F498A,0xF498A,0xF49CC,artunc
sprite_F4B4E,0xF4B4E,0xF4BB0,artunc
sprite_F4BB0,0xF4BB0,0xF4C32,artunc
sprite_F4C32,0xF4C32,0xF4C54,artunc
sprite_F4C54,0xF4C54,0xF4D16,artunc
sprite_F4E98,0xF4E98,0xF4EFA,artunc
sprite_F4EFA,0xF4EFA,0xF4FBC,artunc
sprite_F4FBC,0xF4FBC,0xF4FDE,artunc
sprite_F4FDE,0xF4FDE,0xF5000,artunc
sprite_F5000,0xF5000,0xF5022,artunc
sprite_F51A4,0xF51A4,0xF5206,artunc
sprite_F5308,0xF5308,0xF532A,artunc
sprite_F532A,0xF532A,0xF536C,artunc
sprite_F54EE,0xF54EE,0xF5550,artunc
sprite_F5550,0xF5550,0xF5612,artunc
sprite_F5612,0xF5612,0xF5674,artunc
sprite_F5674,0xF5674,0xF5736,artunc
sprite_F5736,0xF5736,0xF57F8,artunc
sprite_F58FA,0xF58FA,0xF597C,artunc
sprite_F597C,0xF597C,0xF599E,artunc
sprite_F599E,0xF599E,0xF5A60,artunc
sprite_F5A60,0xF5A60,0xF5A82,artunc
sprite_F5A82,0xF5A82,0xF5B44,artunc
sprite_F5C46,0xF5C46,0xF5D08,artunc
sprite_F5D08,0xF5D08,0xF5D4A,artunc
sprite_F5D4A,0xF5D4A,0xF5D6C,artunc
sprite_F5EEE,0xF5EEE,0xF5F70,artunc
sprite_F5F70,0xF5F70,0xF5F92,artunc
sprite_F5F92,0xF5F92,0xF6014,artunc
sprite_F6014,0xF6014,0xF6036,artunc
sprite_F6036,0xF6036,0xF6078,artunc
sprite_F627A,0xF627A,0xF629C,artunc
sprite_F629C,0xF629C,0xF62DE,artunc
sprite_F6460,0xF6460,0xF64C2,artunc
sprite_F64C2,0xF64C2,0xF6544,artunc
sprite_F6544,0xF6544,0xF6566,artunc
sprite_F6566,0xF6566,0xF65E8,artunc
sprite_F65E8,0xF65E8,0xF660A,artunc
sprite_F672C,0xF672C,0xF67AE,artunc
sprite_F67AE,0xF67AE,0xF6870,artunc
sprite_F6870,0xF6870,0xF6892,artunc
sprite_F6892,0xF6892,0xF6914,artunc
sprite_F6914,0xF6914,0xF6936,artunc
sprite_F6936,0xF6936,0xF69F8,artunc
sprite_F69F8,0xF69F8,0xF6A1A,artunc
sprite_F6A1A,0xF6A1A,0xF6A9C,artunc
sprite_F6A9C,0xF6A9C,0xF6ADE,artunc
sprite_F6D62,0xF6D62,0xF6DC4,artunc
sprite_F6DC4,0xF6DC4,0xF6E06,artunc
sprite_F6E06,0xF6E06,0xF6E28,artunc
sprite_F6F2A,0xF6F2A,0xF6FAC,artunc
sprite_F6FAC,0xF6FAC,0xF706E,artunc
sprite_F706E,0xF706E,0xF7090,artunc
sprite_F7090,0xF7090,0xF7152,artunc
sprite_F7152,0xF7152,0xF71D4,artunc
sprite_F71D4,0xF71D4,0xF7296,artunc
sprite_F7296,0xF7296,0xF72D8,artunc
sprite_F72D8,0xF72D8,0xF72FA,artunc
sprite_F74FC,0xF74FC,0xF75BE,artunc
sprite_F75BE,0xF75BE,0xF75E0,artunc
sprite_F75E0,0xF75E0,0xF7602,artunc
sprite_F7602,0xF7602,0xF7664,artunc
sprite_F7664,0xF7664,0xF7686,artunc
sprite_F7686,0xF7686,0xF76C8,artunc
sprite_F76C8,0xF76C8,0xF778A,artunc
sprite_F788C,0xF788C,0xF790E,artunc
sprite_F790E,0xF790E,0xF79D0,artunc
sprite_F79D0,0xF79D0,0xF7A32,artunc
sprite_F7A32,0xF7A32,0xF7AF4,artunc
sprite_F7AF4,0xF7AF4,0xF7B76,artunc
sprite_F7D7A,0xF7D7A,0xF7DBC,artunc
sprite_F7EBE,0xF7EBE,0xF7F00,artunc
sprite_F8102,0xF8102,0xF8124,artunc
sprite_F8124,0xF8124,0xF8166,artunc
sprite_F8368,0xF8368,0xF83AA,artunc
sprite_F85AC,0xF85AC,0xF85CE,artunc
sprite_F85CE,0xF85CE,0xF8610,artunc
sprite_F8610,0xF8610,0xF8672,artunc
sprite_F8672,0xF8672,0xF86F4,artunc
sprite_F86F4,0xF86F4,0xF8736,artunc
sprite_F88B8,0xF88B8,0xF891A,artunc
sprite_F891A,0xF891A,0xF893C,artunc
sprite_F8ABE,0xF8ABE,0xF8B00,artunc
sprite_F8C02,0xF8C02,0xF8CC4,artunc
sprite_F8CC4,0xF8CC4,0xF8D86,artunc
sprite_F902C,0xF902C,0xF906E,artunc
sprite_F906E,0xF906E,0xF90D0,artunc
sprite_F91D2,0xF91D2,0xF9214,artunc
sprite_F9214,0xF9214,0xF9256,artunc
sprite_F9256,0xF9256,0xF92D8,artunc
sprite_F92D8,0xF92D8,0xF933A,artunc
sprite_F94BC,0xF94BC,0xF951E,artunc
sprite_F951E,0xF951E,0xF95E0,artunc
sprite_F99E6,0xF99E6,0xF9A48,artunc
sprite_F9B4A,0xF9B4A,0xF9B6C,artunc
sprite_F9B6C,0xF9B6C,0xF9B8E,artunc
sprite_F9D10,0xF9D10,0xF9D72,artunc
sprite_F9D72,0xF9D72,0xF9E34,artunc
sprite_F9F56,0xF9F56,0xF9FB8,artunc
sprite_F9FB8,0xF9FB8,0xF9FDA,artunc
sprite_FA0DC,0xFA0DC,0xFA0FE,artunc
sprite_FA0FE,0xFA0FE,0xFA1C0,artunc
sprite_FA1C0,0xFA1C0,0xFA202,artunc
sprite_FA202,0xFA202,0xFA284,artunc
sprite_FA284,0xFA284,0xFA2C6,artunc
sprite_FA3C8,0xFA3C8,0xFA3EA,artunc
sprite_FA3EA,0xFA3EA,0xFA44C,artunc
sprite_FA44C,0xFA44C,0xFA4CE,artunc
sprite_FA5D0,0xFA5D0,0xFA692,artunc
sprite_FA692,0xFA692,0xFA754,artunc
sprite_FA876,0xFA876,0xFA8B8,artunc
sprite_FA8B8,0xFA8B8,0xFA97A,artunc
sprite_FAA9C,0xFAA9C,0xFAABE,artunc
sprite_FAABE,0xFAABE,0xFAB80,artunc
sprite_FAD02,0xFAD02,0xFAD44,artunc
sprite_FAD44,0xFAD44,0xFAE06,artunc
sprite_FAF08,0xFAF08,0xFAF8A,artunc
sprite_FAF8A,0xFAF8A,0xFAFEC,artunc
sprite_FAFEC,0xFAFEC,0xFB0AE,artunc
sprite_FB2B0,0xFB2B0,0xFB2F2,artunc
sprite_FB2F2,0xFB2F2,0xFB354,artunc
sprite_FB354,0xFB354,0xFB376,artunc
sprite_FB578,0xFB578,0xFB5FA,artunc
sprite_FB5FA,0xFB5FA,0xFB67C,artunc
sprite_FB7FE,0xFB7FE,0xFB840,artunc
sprite_FB840,0xFB840,0xFB8A2,artunc
sprite_FB8A2,0xFB8A2,0xFB8E4,artunc
sprite_FB8E4,0xFB8E4,0xFB966,artunc
sprite_FBAE8,0xFBAE8,0xFBB2A,artunc
sprite_FBDAE,0xFBDAE,0xFBDD0,artunc
sprite_FBDD0,0xFBDD0,0xFBE32,artunc
sprite_FBE32,0xFBE32,0xFBEB4,artunc
sprite_FBEB4,0xFBEB4,0xFBEF6,artunc
sprite_FBFF8,0xFBFF8,0xFC0BA,artunc
sprite_FC3BE,0xFC3BE,0xFC480,artunc
sprite_FC480,0xFC480,0xFC4A2,artunc
sprite_FC6A6,0xFC6A6,0xFC728,artunc
sprite_FC728,0xFC728,0xFC7AA,artunc
sprite_FC7AA,0xFC7AA,0xFC82E,artunc
sprite_FC82E,0xFC82E,0xFC8F0,artunc
sprite_FC8F0,0xFC8F0,0xFC912,artunc
sprite_FCD38,0xFCD38,0xFCD7A,artunc
sprite_FCD7A,0xFCD7A,0xFCE3C,artunc
sprite_FCE3C,0xFCE3C,0xFCEBE,artunc
sprite_FCEBE,0xFCEBE,0xFCF40,artunc
sprite_FCF40,0xFCF40,0xFCFC2,artunc
sprite_FD0C4,0xFD0C4,0xFD186,artunc
sprite_FD186,0xFD186,0xFD1E8,artunc
sprite_FD1E8,0xFD1E8,0xFD26A,artunc
sprite_FD26A,0xFD26A,0xFD2EC,artunc
sprite_FD2EC,0xFD2EC,0xFD30E,artunc
sprite_FDB8E,0xFDB8E,0xFDC0E,artunc
sprite_FDC0E,0xFDC0E,0xFDC8E,artunc
sprite_FDC8E,0xFDC8E,0xFDD0E,artunc
sprite_FDD0E,0xFDD0E,0xFDD8E,artunc
sprite_FDD8E,0xFDD8E,0xFDE0E,artunc
sprite_FDE0E,0xFDE0E,0xFDE8E,artunc
sprite_FDE8E,0xFDE8E,0xFDF0E,artunc
sprite_FDF0E,0xFDF0E,0xFDF8E,artunc
sprite_FDF8E,0xFDF8E,0xFE00E,artunc
sprite_FE00E,0xFE00E,0xFE08E,artunc
sprite_FE08E,0xFE08E,0xFE10E,artunc
sprite_FE10E,0xFE10E,0xFE18E,artunc
sprite_FE18E,0xFE18E,0xFE20E,artunc
sprite_FE20E,0xFE20E,0xFE28E,artunc
sprite_FE28E,0xFE28E,0xFE30E,artunc
sprite_FE30E,0xFE30E,0xFE38E,artunc
sprite_FE38E,0xFE38E,0xFE40E,artunc
sprite_FE40E,0xFE40E,0xFE48E,artunc
sprite_FE48E,0xFE48E,0xFE50E,artunc
sprite_FE50E,0xFE50E,0xFE58E,artunc
sprite_FE58E,0xFE58E,0xFE60E,artunc
sprite_FE60E,0xFE60E,0xFE68E,artunc
sprite_FE68E,0xFE68E,0xFE70E,artunc
sprite_FE70E,0xFE70E,0xFE78E,artunc

# === Tile mappings (mappings/) ===
font_japanese,0x14A636,0x14ADEE,mappings
unused,0x180084,0x180F84,mappings
byte_11A644,0x11A644,0x11A8FC,mappings
byte_13F4B0,0x13F4B0,0x1402E2,mappings
byte_1402E2,0x1402E2,0x140B0C,mappings
byte_140B98,0x140B98,0x140F00,mappings
byte_140F00,0x140F00,0x141018,mappings
byte_141018,0x141018,0x1412B6,mappings
byte_14B91C,0x14B91C,0x14BB82,mappings
byte_14D064,0x14D064,0x14D272,mappings
byte_14F2B6,0x14F2B6,0x14F542,mappings
byte_14FD6A,0x14FD6A,0x14FF06,mappings
byte_150D1C,0x150D1C,0x150EC8,mappings
byte_151CDE,0x151CDE,0x151F30,mappings
byte_152D60,0x152D60,0x152FC4,mappings
byte_15389A,0x15389A,0x153B34,mappings
byte_1543E0,0x1543E0,0x1545E4,mappings
byte_1557D6,0x1557D6,0x1559BE,mappings
byte_157036,0x157036,0x1571FE,mappings
byte_158674,0x158674,0x158854,mappings
byte_159440,0x159440,0x15960E,mappings
byte_15B086,0x15B086,0x15B2B6,mappings
byte_15C020,0x15C020,0x15C24E,mappings
byte_15D00A,0x15D00A,0x15D13E,mappings
byte_15E960,0x15E960,0x15EB98,mappings
byte_15FF52,0x15FF52,0x160124,mappings
byte_16114A,0x16114A,0x161336,mappings
byte_163A32,0x163A32,0x163E1E,mappings
byte_16494A,0x16494A,0x164ADA,mappings
byte_182CE2,0x182CE2,0x182F24,mappings
byte_184688,0x184688,0x1850C6,mappings
byte_1885A4,0x1885A4,0x1889B0,mappings
byte_1889B0,0x1889B0,0x189D38,mappings
byte_18CC50,0x18CC50,0x18CD7C,mappings
byte_18CD7C,0x18CD7C,0x18D562,mappings
byte_192C38,0x192C38,0x192F7C,mappings
byte_193010,0x193010,0x19382C,mappings
byte_19382C,0x19382C,0x193DBE,mappings
byte_193DBE,0x193DBE,0x1942B8,mappings
byte_19794C,0x19794C,0x197C28,mappings
byte_197C28,0x197C28,0x198E2C,mappings
byte_19AF40,0x19AF40,0x19B0F6,mappings
byte_19B0F6,0x19B0F6,0x19BA44,mappings
byte_19FACA,0x19FACA,0x19FE62,mappings
byte_19FF2E,0x19FF2E,0x1A08DA,mappings
byte_1A08DA,0x1A08DA,0x1A0CA6,mappings
byte_1A2878,0x1A2878,0x1A2C46,mappings
byte_1A6276,0x1A6276,0x1A648A,mappings
byte_1A648A,0x1A648A,0x1A74F6,mappings
byte_1A8B88,0x1A8B88,0x1A8F0E,mappings
byte_1ABB28,0x1ABB28,0x1ABC72,mappings
byte_1ABCFC,0x1ABCFC,0x1ACB68,mappings
byte_1AF09C,0x1AF09C,0x1AF666,mappings
byte_1B0C64,0x1B0C64,0x1B0F08,mappings
byte_1B3458,0x1B3458,0x1B3A26,mappings
byte_1B3EDE,0x1B3EDE,0x1B401E,mappings
byte_1B401E,0x1B401E,0x1B412A,mappings
byte_1B41DA,0x1B41DA,0x1B5466,mappings
byte_1B6C82,0x1B6C82,0x1B6F86,mappings
byte_1B83A8,0x1B83A8,0x1B8CBC,mappings
byte_1BB6A4,0x1BB6A4,0x1BBC4E,mappings
byte_1BD048,0x1BD048,0x1BE762,mappings
byte_1C0FB2,0x1C0FB2,0x1C1108,mappings
byte_1C1108,0x1C1108,0x1C17AC,mappings
byte_1C17AC,0x1C17AC,0x1C1A36,mappings
byte_1C2968,0x1C2968,0x1C2B90,mappings
byte_1C55CE,0x1C55CE,0x1C5DE4,mappings
byte_1C6620,0x1C6620,0x1C67BE,mappings
byte_1C8CB4,0x1C8CB4,0x1C92B0,mappings
byte_1CA046,0x1CA046,0x1CA32E,mappings
byte_1CD7EC,0x1CD7EC,0x1CE2E0,mappings
byte_BB72,0xBB72,0xBE1E,mappings

# === Sound/PCM data (sound/) ===
z80_data,0x83E70,0x84A70,sound
runnerad2025,0x85266,0x869D0,sound
blacksheep,0x869D0,0x87AC8,sound
over,0x87AC8,0x87F2C,sound
fromobjectornointro,0x87F2C,0x88E98,sound
withtreasure,0x88E98,0x890A4,sound
shade,0x890A4,0x89D80,sound
sidelimits,0x89D80,0x8A4BE,sound
flashback,0x8A4BE,0x8ABC8,sound
soltype,0x8ABC8,0x8B470,sound
fromobjector,0x8B470,0x8B93C,sound
epsilonsally,0x8B93C,0x8C242,sound
lurk,0x8C242,0x8CE04,sound
perfectthing,0x8CE04,0x8DA24,sound
slapup,0x8DA24,0x8E0F2,sound
xages,0x8E0F2,0x8E5E4,sound
theend,0x8E5E4,0x8F06A,sound
titletheme,0x8F06A,0x8F4B0,sound
silent,0x8F4B0,0x8FABC,sound
galaxydesert,0x8FABC,0x9045E,sound
soldierssong,0x9045E,0x91304,sound
alonezvariation,0x91304,0x92270,sound
seventhforce,0x92270,0x92E7E,sound
threeprayers,0x92E7E,0x93CC8,sound
alonez,0x93CC8,0x94C10,sound
specialsfxtrack,0x94C10,0x94D4C,sound
SFX_AA,0x9507A,0x951C8,sound
SFX_E5,0x96444,0x96558,sound
SFX_F4,0x97AE4,0x97C16,sound
SFX_F7,0x97D9A,0x97ECC,sound
PCMPart1,0x98000,0xA0000,sound
PCMPart2,0xA0000,0xA8000,sound
PCMPart3,0xA8000,0xB0000,sound
