old_name,scene,frame,new_name,description,category,status
sub_2384,Stage 1,540,,Calculates sprite screen position with bounds checking,Sprite,analyzed
sub_27D8,Stage 1,540,,Processes data pointers with state bits,Sys,analyzed
sub_2972,Stage 1,540,,Decompresses LZSS data to RAM buffer,Sys,analyzed
sub_2A58,Stage 1,540,,Clears DMA buffer at FFB400,Sys,analyzed
sub_2C62,Stage 1,540,,Executes DMA transfer with VDP register setup,Gfx,analyzed
sub_2DB4,Stage 1,540,,Initializes graphics subsystem chain,Sys,analyzed
sub_2E32,Stage 1,540,,Loads VDP register values from table,Gfx,analyzed
sub_2EF0,Stage 1,540,,Clears object RAM area at FF8000,Sys,analyzed
sub_2F08,Stage 1,540,,Clears sprite buffer areas,Sys,analyzed
sub_320C,Stage 1,540,,Clears CRAM color RAM area,Gfx,analyzed
sub_326C,Stage 1,540,,Clears VRAM plane data,Gfx,analyzed
sub_34EE,Stage 1,540,,Processes joypad button state,Input,analyzed
sub_3B9A,Stage 1,540,,Adjusts palette selection bits in tile data,Gfx,analyzed
sub_4094,Stage 1,540,,Main player state machine dispatcher,Player,analyzed
sub_40C0,Stage 1,540,,Updates palette state and positions,Gfx,analyzed
sub_A970,Stage 1,540,,Player behavior state dispatcher,Player,analyzed
sub_AE9A,Stage 1,540,,Initializes player object with default values,Player,analyzed
sub_10DB2,Stage 1,540,,Sets up VDP DMA for sprite data,Sprite,analyzed
sub_11256,Stage 1,540,,Writes VDP command registers,Gfx,analyzed
sub_11DD2,Stage 1,540,,Stage state machine dispatcher,Stage,analyzed
sub_11E1A,Stage 1,540,,Loads tile data into tables,Gfx,analyzed
sub_11E86,Stage 1,540,,Loads stage palette data,Gfx,analyzed
sub_12B6A,Stage 1,540,,Renders HUD element health or ammo,UI,analyzed
sub_12E50,Stage 1,540,,Renders HUD element variant 2,UI,analyzed
sub_12FBC,Stage 1,540,,Renders HUD element variant 3,UI,analyzed
sub_13178,Stage 1,540,,Processes multiple palette slots,Gfx,analyzed
sub_1319E,Stage 1,540,,Loads palette data from offset table,Gfx,analyzed
sub_131AE,Stage 1,540,,Sets up VDP registers for sprite tiles,Sprite,analyzed
sub_131D6,Stage 1,540,,Sets up DMA for tile transfer,Gfx,analyzed
sub_146FC,Stage 1,540,,Dispatches player action handlers,Player,analyzed
sub_148B0,Stage 1,540,,Handles player collision states,Player,analyzed
sub_14F06,Stage 1,540,,Initializes player stats and parameters,Player,analyzed
sub_14F98,Stage 1,540,,Main player update routine,Player,analyzed
sub_15052,Stage 1,540,,Updates player state machine,Player,analyzed
sub_1521E,Stage 1,540,,Handles player jump mechanics,Player,analyzed
sub_155B0,Stage 1,540,,Handles player special move action,Player,analyzed
sub_159E0,Stage 1,540,,Handles dash cancel state and timer management,Player,analyzed
sub_15A9C,Stage 1,540,,Applies horizontal movement with boundary checking,Player,analyzed
sub_15BB8,Stage 1,540,,Checks and activates special move from state flags,Player,analyzed
sub_16B04,Stage 1,540,,Reads controller input into player state bytes,Input,analyzed
sub_16B24,Stage 1,540,,Updates weapon switch timer and cooldown,Player,analyzed
sub_16C00,Stage 1,540,,Manages player invulnerability and flash timer,Player,analyzed
sub_16C6E,Stage 1,540,,Loads player sprite palette based on state,Gfx,analyzed
sub_16CE8,Stage 1,540,,Processes player action through dispatcher,Player,analyzed
sub_173FA,Stage 1,540,,Spawns player projectile with velocity and properties,Player,analyzed
sub_177B6,Stage 1,540,,Creates visual dash trail effect behind player,Effect,analyzed
sub_19188,Stage 1,540,,Initializes projectile sprite with position and velocity,Sprite,analyzed
sub_19992,Stage 1,540,,Processes all active projectile objects,Sys,analyzed
sub_1B8CA,Stage 1,540,,Maps button input based on game state,Input,analyzed
sub_1C042,Stage 1,540,,Finds free slot in object array,Sys,analyzed
sub_1C97A,Stage 1,540,,Updates camera scroll position based on player,Gfx,analyzed
sub_1CE3A,Stage 1,540,,Updates enemy AI behavior state,Enemy,analyzed
sub_1F05E,Stage 1,540,,Initializes stage state machine,Stage,analyzed
sub_1F072,Stage 1,540,,Updates UI menu state and rendering,UI,analyzed
sub_1F12C,Stage 1,540,,Loads stage assets and data,Stage,analyzed
sub_1F14E,Stage 1,540,,Handles stage state transitions,Stage,analyzed
sub_1F238,Stage 1,540,,Handles menu navigation with directional input,UI,analyzed
sub_1F356,Stage 1,540,,Handles weapon menu directional navigation,UI,analyzed
sub_1F3B8,Stage 1,540,,Executes sprite fade with DMA transfers,Sprite,analyzed
sub_1F3E6,Stage 1,540,,Loads menu graphic elements in loop,Gfx,analyzed
sub_1F464,Stage 1,540,,Waits for button press before proceeding,UI,analyzed
sub_1F496,Stage 1,540,,Handles option selection with directional controls,UI,analyzed
sub_1F720,Stage 1,540,,Smoothly interpolates scroll position to target,Gfx,analyzed
sub_2A7BE,Stage 1,540,,Initializes sprite object properties at address,Sprite,analyzed
sub_82324,Stage 1,540,,Thunk to main sound driver update,Sound,analyzed
sub_8232C,Stage 1,540,,Main sound driver update loop,Sound,analyzed
sub_82552,Stage 1,540,,Processes individual sound channel state,Sound,analyzed
sub_8257C,Stage 1,540,,Parses and interprets sound track data,Sound,analyzed
sub_825B2,Stage 1,540,,Calculates note pitch and frequency,Sound,analyzed
sub_825E4,Stage 1,540,,Calculates note duration timing,Sound,analyzed
sub_829AA,Stage 1,540,,Processes sound fade and volume changes,Sound,analyzed
sub_82A1A,Stage 1,540,,Updates sound envelope parameters,Sound,analyzed
sub_82F6C,Stage 1,540,,Processes DAC digital audio channel,Sound,analyzed
sub_8329C,Stage 1,540,,Processes FM synthesis channels,Sound,analyzed
sub_833AA,Stage 1,540,,Writes data to sound chip registers,Sound,analyzed
sub_833BC,Stage 1,540,,Initializes sound channel structures,Sound,analyzed
sub_8342A,Stage 1,540,,Processes sound tempo tick and increments channel timers,Sound,analyzed
sub_834D2,Stage 1,540,,Resets sound driver state and clears RAM,Sound,analyzed
sub_835B0,Stage 1,540,,Writes data to YM2612 FM chip registers,Sound,analyzed
sub_83820,Stage 1,540,,Dispatches sound commands via jump table,Sound,analyzed
sub_838C4,Stage 1,540,,Sets sound channel control flags,Sound,analyzed
sub_838E0,Stage 1,540,,Sets envelope parameter for channel,Sound,analyzed
sub_839B8,Stage 1,540,,Selects instrument for sound channel,Sound,analyzed
sub_83A8E,Stage 1,540,,Applies volume and pan to sound channel,Sound,analyzed
sub_83B0A,Stage 1,540,,Sets up LFO modulation parameters,Sound,analyzed
sub_2264,Stage 1,720,,Culls sprites outside visible screen area,Sprite,analyzed
sub_B326,Stage 1,720,,Loads tile indices from data table,Gfx,analyzed
sub_C83E,Stage 1,720,,Main stage dispatcher jump table,Stage,analyzed
sub_C8C2,Stage 1,720,,Updates stage logic and scroll,Stage,analyzed
sub_FF16,Stage 1,720,,Processes stage handler entry point,Stage,analyzed
sub_10060,Stage 1,720,,Updates scroll with player following,Gfx,analyzed
sub_102E0,Stage 1,720,,Calculates scroll position from camera,Gfx,analyzed
sub_102FC,Stage 1,720,,Accelerates scroll based on player position,Gfx,analyzed
sub_103FA,Stage 1,720,,Sets up VDP scroll plane registers,Gfx,analyzed
sub_10496,Stage 1,720,,Writes scroll value with flag checks,Gfx,analyzed
sub_106F2,Stage 1,720,,Gets camera position for rendering,Gfx,analyzed
sub_106FE,Stage 1,720,,Renders tilemap tiles to VRAM planes,Gfx,analyzed
sub_1344A,Stage 1,720,,Sets up VDP DMA transfer registers,Gfx,analyzed
sub_13CCA,Stage 1,720,,Detects collision between enemies and player,Enemy,analyzed
sub_13E9A,Stage 1,720,,Detects player projectile hits on enemies,Player,analyzed
sub_14760,Stage 1,720,,Checks player collision with terrain,Player,analyzed
sub_149EE,Stage 1,720,,Handles player collision with floor,Player,analyzed
sub_14C72,Stage 1,720,,Snaps player position to floor surface,Player,analyzed
sub_151EE,Stage 1,720,,Initializes player air movement state,Player,analyzed
sub_15408,Stage 1,720,,Handles player airborne state logic,Player,analyzed
sub_15502,Stage 1,720,,Initializes player landing state,Player,analyzed
sub_15532,Stage 1,720,,Handles player landing state logic,Player,analyzed
sub_15AF4,Stage 1,720,,Initializes player slide knockback state,Player,analyzed
sub_15B20,Stage 1,720,,Handles player slide knockback state,Player,analyzed
sub_15CE4,Stage 1,720,,Handles player falling state with gravity,Player,analyzed
sub_15E5E,Stage 1,720,,Selects animation based on falling velocity,Player,analyzed
sub_15F04,Stage 1,720,,Applies horizontal air control input,Player,analyzed
sub_15F6A,Stage 1,720,,Initializes special attack state,Player,analyzed
sub_15FC4,Stage 1,720,,Handles special attack state logic,Player,analyzed
sub_16B74,Stage 1,720,,Sets player hit box collision boundaries with direction mirroring,Player,analyzed
sub_16CFE,Stage 1,720,,Updates player state and checks terrain collision,Player,analyzed
sub_16D40,Stage 1,720,,Dispatches player action based on facing direction,Player,analyzed
sub_16D80,Stage 1,720,,Processes D-pad input for character facing direction,Input,analyzed
sub_16EAA,Stage 1,720,,Decelerates horizontal velocity towards zero,Player,analyzed
sub_171CA,Stage 1,720,,Updates player animation state and frame data,Player,analyzed
sub_171D6,Stage 1,720,,Selects animation frame data from table,Anim,analyzed
sub_17274,Stage 1,720,,Prepares player sprite for rendering with palette,Sprite,analyzed
sub_17514,Stage 1,720,,Spawns particle effect with random velocity,Effect,analyzed
sub_17884,Stage 1,720,,Updates dash trail position with acceleration,Effect,analyzed
sub_178FE,Stage 1,720,,Updates weapon selection display counters,UI,analyzed
sub_17952,Stage 1,720,,Processes weapon display state dispatcher,UI,analyzed
sub_1799A,Stage 1,720,,Gets weapon icon data from table,UI,analyzed
sub_17BFC,Stage 1,720,,Increments weapon selection index,UI,analyzed
sub_17E46,Stage 1,720,,Loads weapon icon graphics via DMA,Gfx,analyzed
sub_17ED8,Stage 1,720,,Renders player sprite with position adjustments,Sprite,analyzed
sub_18530,Stage 1,720,,Spawns 8 projectiles in circular pattern,Player,analyzed
sub_18EE8,Stage 1,720,,Updates projectile seeking movement,Sprite,analyzed
sub_18F06,Stage 1,720,,Handles projectile collision and destruction,Sprite,analyzed
sub_18F58,Stage 1,720,,Spawns explosion effect with random velocity,Effect,analyzed
sub_199F4,Stage 1,720,,Merges button state from buffer into main register,Input,analyzed
sub_19A10,Stage 1,720,,Clears button state and dispatches input handler,Input,analyzed
sub_19D5C,Stage 1,720,,Sets specific button flag in state register,Input,analyzed
sub_1A280,Stage 1,720,,Updates object spawner state and triggers,Sys,analyzed
sub_1A2FA,Stage 1,720,,Processes object spawn list based on scroll,Sys,analyzed
sub_1A324,Stage 1,720,,Spawns object from spawn table entry,Sys,analyzed
sub_1A38A,Stage 1,720,,Finds free slot in object array range,Sys,analyzed
sub_1A3B0,Stage 1,720,,Clears 96 bytes of object RAM,Sys,analyzed
sub_1CA86,Stage 1,720,,Applies velocity with boundary clamping,Physics,analyzed
sub_1CAE4,Stage 1,720,,Applies position offset based on direction flags,Physics,analyzed
sub_1F002,Stage 1,720,,Initializes color lookup tables in RAM,Gfx,analyzed
sub_2A614,Stage 1,720,,Passes object address from a5 to a0,Sys,analyzed
sub_2A616,Stage 1,720,,Initializes sprite object from data table,Sprite,analyzed
sub_2A6D8,Stage 1,720,,Updates sprite animation frame timer and data,Anim,analyzed
sub_2A7DE,Stage 1,720,,Applies gravity to vertical velocity,Physics,analyzed
sub_2BB70,Stage 1,720,,Plays enemy death sound and sets timer,Enemy,analyzed
sub_2BB86,Stage 1,720,,Initializes enemy state flags and properties,Enemy,analyzed
sub_2BBC0,Stage 1,720,,Updates boss AI with weapon cycling logic,Enemy,analyzed
sub_2BCEE,Stage 1,720,,Initializes boss object and state,Enemy,analyzed
sub_2C4DC,Stage 1,720,,Sets up boss sprite properties and palette,Sprite,analyzed
sub_2C53C,Stage 1,720,,Updates animation pointer based on current state index,Anim,analyzed
sub_2C564,Stage 1,720,,Applies horizontal acceleration with speed limits,Physics,analyzed
sub_2C5B4,Stage 1,720,,Applies horizontal deceleration and stops at threshold,Physics,analyzed
sub_2C6A8,Stage 1,720,,Main AI controller for enemy behavior and state management,Enemy,analyzed
sub_2C6FE,Stage 1,720,,Dispatches enemy to appropriate state handler,Enemy,analyzed
sub_2C71E,Stage 1,720,,Main enemy state machine with movement and attack patterns,Enemy,analyzed
sub_2C93A,Stage 1,720,,Initializes sprite properties for enemy object,Sprite,analyzed
sub_2C970,Stage 1,720,,Updates enemy animation frame based on state,Anim,analyzed
sub_2C990,Stage 1,720,,Main processing routine for enemy object,Enemy,analyzed
sub_2C9B4,Stage 1,720,,Executes current enemy state handler,Enemy,analyzed
sub_2C9D0,Stage 1,720,,Initializes enemy with health value and sprite setup,Enemy,analyzed
sub_2CA40,Stage 1,720,,Initializes sprite properties for projectile object,Sprite,analyzed
sub_2CA7C,Stage 1,720,,Updates projectile animation frame,Anim,analyzed
sub_2CBF8,Stage 1,720,,Main processing routine for projectile object,Enemy,analyzed
sub_2CC12,Stage 1,720,,Dispatches projectile to state handler,Enemy,analyzed
sub_2CC34,Stage 1,720,,State machine for projectile movement and collision,Enemy,analyzed
sub_2CE1C,Stage 1,720,,Processing routine for alternative projectile type,Enemy,analyzed
sub_2CE34,Stage 1,720,,Dispatches alternative projectile to state handler,Enemy,analyzed
sub_2CE4E,Stage 1,720,,State machine for alternative projectile with difficulty scaling,Enemy,analyzed
sub_2CF18,Stage 1,720,,Updates enemy facing direction to track player,Enemy,analyzed
sub_2CF40,Stage 1,720,,Applies gravity acceleration to vertical velocity with terminal velocity,Physics,analyzed
sub_2CF64,Stage 1,720,,Updates player physics and action state,Player,analyzed
sub_835A4,Stage 1,720,,Processes YM2612 sound chip channel bit flags,Sound,analyzed
sub_147D6,Jetsripper boss,900,,Performs terrain collision checks at multiple points,Physics,analyzed
sub_1483A,Jetsripper boss,900,,Terrain collision check with vertical velocity validation,Physics,analyzed
sub_1490A,Jetsripper boss,900,,Processes terrain collision based on surface angle,Physics,analyzed
sub_14A48,Jetsripper boss,900,,Handles floor collision and sets ground state,Physics,analyzed
sub_14AA2,Jetsripper boss,900,,Handles ceiling collision based on angle,Physics,analyzed
sub_14C86,Jetsripper boss,900,,Snaps player position to terrain surface,Physics,analyzed
sub_14EEA,Jetsripper boss,900,,Handles wall collision and adjusts position,Physics,analyzed
sub_1592E,Jetsripper boss,900,,Initializes player dash attack with direction and projectile,Player,analyzed
sub_15C20,Jetsripper boss,900,,Checks controller input for dash attack activation,Player,analyzed
sub_15C72,Jetsripper boss,900,,Ends dash attack and transitions to air state,Player,analyzed
sub_1652C,Jetsripper boss,900,,Processes player state while airborne,Player,analyzed
sub_1663A,Jetsripper boss,900,,Initializes player landing recovery state,Player,analyzed
sub_16670,Jetsripper boss,900,,Processes player state during jump,Player,analyzed
sub_166EA,Jetsripper boss,900,,Checks controller input for counter/parry activation,Player,analyzed
sub_16C62,Jetsripper boss,900,,Finds free object slot for dash trail effect,Effect,analyzed
sub_16D14,Jetsripper boss,900,,Standard terrain collision check for player,Player,analyzed
sub_16D2A,Jetsripper boss,900,,Alternative terrain collision check with velocity,Player,analyzed
sub_1B410,Jetsripper boss,900,,Calculates distance between two objects using position differences,Physics,analyzed
sub_2A30E,Jetsripper boss,900,,Checks object visibility timer and sets flags,Boss,analyzed
sub_2A32A,Jetsripper boss,900,,Spawns Jetsripper boss projectile with initial state,Boss,analyzed
sub_2B6D4,Jetsripper boss,900,,Main update routine for Jetsripper boss,Boss,analyzed
sub_2BD1E,Jetsripper boss,900,,Jetsripper attack pattern state handler,Boss,analyzed
sub_2BD2E,Jetsripper boss,900,,Jetsripper second attack pattern state,Boss,analyzed
sub_2C33A,Jetsripper boss,900,,Moves Jetsripper boss left with animation,Boss,analyzed
sub_2C360,Jetsripper boss,900,,Moves Jetsripper boss right with animation,Boss,analyzed
sub_2C3BC,Jetsripper boss,900,,Updates boss movement phase and direction,Boss,analyzed
sub_2C3CE,Jetsripper boss,900,,Initializes boss attack sequence with timers,Boss,analyzed
sub_2C3F8,Jetsripper boss,900,,Sets boss animation frame from lookup table,Boss,analyzed
sub_2C41C,Jetsripper boss,900,,Updates attack timer and transitions states,Boss,analyzed
sub_2C4A2,Jetsripper boss,900,,Checks player position relative to boss,Boss,analyzed
sub_2C4C0,Jetsripper boss,900,,Adjusts boss position based on player location,Boss,analyzed
sub_2C622,Jetsripper boss,900,,Fires projectiles in pattern based on attack state,Boss,analyzed
sub_2C666,Jetsripper boss,900,,Spawns multiple projectiles in sequence,Boss,analyzed
sub_2CA02,Jetsripper boss,900,,Handles Jetsripper boss death animation and cleanup,Boss,analyzed
sub_C8DC,Jetsripper boss,1080,,Initializes boss introduction sequence,Stage,analyzed
sub_FF4A,Jetsripper boss,1080,,Transitions stage to next phase or section,Stage,analyzed
sub_10068,Jetsripper boss,1080,,Loads boss tile graphics into VRAM,Gfx,analyzed
sub_116A8,Jetsripper boss,1080,,Updates boss palette with fade or flash effect,Gfx,analyzed
sub_1400C,Jetsripper boss,1080,,Sets OAM sprite entry for boss graphics,Sprite,analyzed
sub_14ED2,Jetsripper boss,1080,,Updates boss sprite animation frame,Sprite,analyzed
sub_152CA,Jetsripper boss,1080,,Applies velocity to boss position with bounds,Physics,analyzed
sub_15342,Jetsripper boss,1080,,Checks collision between boss and player shots,Physics,analyzed
sub_1539C,Jetsripper boss,1080,,Processes damage to boss and updates health,Boss,analyzed
sub_153BC,Jetsripper boss,1080,,Flashes boss sprite when taking damage,Boss,analyzed
sub_156B8,Jetsripper boss,1080,,Updates boss health bar display,Boss,analyzed
sub_15C66,Jetsripper boss,1080,,Positions multiple boss sprite parts,Sprite,analyzed
sub_15E40,Jetsripper boss,1080,,Draws boss health UI elements,Gfx,analyzed
sub_167EE,Jetsripper boss,1080,,Plays sound effect for boss taking damage,Sound,analyzed
sub_16E34,Jetsripper boss,1080,,Applies vertical momentum deceleration based on direction flag,Physics,analyzed
sub_17386,Jetsripper boss,1080,,Checks if boss is defeated (health depleted),Boss,analyzed
sub_174A8,Jetsripper boss,1080,,Handles stage progression after boss defeat,Stage,analyzed
sub_1C050,Jetsripper boss,1080,,Updates projectile trajectory and rotation,Enemy,analyzed
sub_1CAF2,Jetsripper boss,1080,,Checks if projectile is out of bounds,Enemy,analyzed
sub_2BDB0,Jetsripper boss,1080,,Dispatches to boss state handler based on state index,Boss,analyzed
sub_2CB86,Jetsripper boss,1080,,Jetsripper idle state with hovering animation,Boss,analyzed
sub_1609A,Jetsripper boss,1260,,Updates particle effects for explosions,Effect,analyzed
sub_1615C,Jetsripper boss,1260,,Spawns debris particles from boss damage,Effect,analyzed
sub_179C2,Jetsripper boss,1260,,Initializes weapon select UI with sprites and animation tables,UI,analyzed
sub_17AAC,Jetsripper boss,1260,,Handles rotation input on weapon select screen with sound,UI,analyzed
sub_17B8A,Jetsripper boss,1260,,Main update loop for weapon select screen with collision check,UI,analyzed
sub_17C4E,Jetsripper boss,1260,,Saves current weapon selection index to RAM,UI,analyzed
sub_1924C,Jetsripper boss,1260,,Clears object buffer at FFBFC0 with 16 iterations,Sys,analyzed
sub_1925A,Jetsripper boss,1260,,Clears memory block with unrolled 96-byte loop per iteration,Sys,analyzed
sub_3483E,Jetsripper boss,1260,,Updates positions of linked child objects from parent,Sprite,analyzed
sub_35656,Jetsripper boss,1260,,Main handler checking boss state and HP thresholds,Boss,analyzed
sub_35682,Jetsripper boss,1260,,Updates Jetsripper state machine and transition logic,Boss,analyzed
sub_356FA,Jetsripper boss,1260,,Initializes boss state and spawns linked objects,Boss,analyzed
sub_3570E,Jetsripper boss,1260,,Initializes 18 body segments with physics parameters,Boss,analyzed
sub_357C8,Jetsripper boss,1260,,Handles boss entering screen until position threshold,Boss,analyzed
sub_357E8,Jetsripper boss,1260,,Thunk routine jumping to alignment state handler,Boss,analyzed
sub_359BC,Jetsripper boss,1260,,Updates vertical oscillation movement pattern,Boss,analyzed
sub_35A02,Jetsripper boss,1260,,Moves boss toward center alignment position,Boss,analyzed
sub_35DF2,Jetsripper boss,1260,,Adjusts radius parameter toward target value 0xC0,Boss,analyzed
sub_35E8C,Jetsripper boss,1260,,Finds segment with highest Y position for targeting,Boss,analyzed
sub_35EBE,Jetsripper boss,1260,,Updates sprites for all body segments,Boss,analyzed
sub_35EDC,Jetsripper boss,1260,,Updates head segment sprite with 4-direction facing,Boss,analyzed
sub_35F2C,Jetsripper boss,1260,,Updates body segment sprites with 16-direction facing,Boss,analyzed
sub_35FF6,Jetsripper boss,1260,,Calculates Y positions for all body segments,Boss,analyzed
sub_36058,Jetsripper boss,1260,,Calculates vertical velocity from sine table,Boss,analyzed
sub_3610E,Jetsripper boss,1260,,Updates all segment positions with wave motion,Boss,analyzed
sub_3619C,Jetsripper boss,1260,,Updates palette colors for glow effect,Boss,analyzed
sub_258C,Jetsripper boss,1440,,Adds sprite entries to OAM buffer with priority,Sprite,analyzed
sub_AAA2,Jetsripper boss,1440,,Starts victory text display sequence with sound,Text,analyzed
sub_AAC6,Jetsripper boss,1440,,Updates text animation with countdown timer,Text,analyzed
sub_AADC,Jetsripper boss,1440,,Advances to next text phase with sound effect,Text,analyzed
sub_AB14,Jetsripper boss,1440,,Animates text movement with deceleration,Text,analyzed
sub_B38C,Jetsripper boss,1440,,Loads font tile and queues DMA transfer,Text,analyzed
sub_B3E6,Jetsripper boss,1440,,Prepares position parameters for text rendering,Text,analyzed
sub_B40A,Jetsripper boss,1440,,Renders line of sprites for text display,Sprite,analyzed
sub_B44E,Jetsripper boss,1440,,Checks conditions for victory message display,UI,analyzed
sub_152FC,Jetsripper boss,1440,,Initializes player death knockback state and velocity,Player,analyzed
sub_161A6,Jetsripper boss,1440,,Handles player state during boss defeat sequence,Player,analyzed
sub_16EF2,Jetsripper boss,1440,,Handles player defeat state with direction check,Player,analyzed
sub_357EC,Jetsripper boss,1440,,Handles attack timer countdown and sound trigger,Boss,analyzed
sub_35814,Jetsripper boss,1440,,Ends attack phase and resets state parameters,Boss,analyzed
sub_35A4E,Jetsripper boss,1440,,Main movement update with direction oscillation,Boss,analyzed
sub_361DE,Jetsripper boss,1440,,Clamps segment Y position to maximum 0x144,Boss,analyzed
sub_3ABA,Jetsripper boss,1620,,Updates palette with fade effect using timer,Gfx,analyzed
sub_3AE4,Jetsripper boss,1620,,Calculates fade parameters from timer and random,Gfx,analyzed
sub_3B32,Jetsripper boss,1620,,Applies fade to palette colors with RGB adjustment,Gfx,analyzed
sub_3B66,Jetsripper boss,1620,,Prepares RGB shift components for palette operations,Gfx,analyzed
sub_15C34,Jetsripper boss,1620,,Initializes player falling state with parameters,Player,analyzed
sub_16F36,Jetsripper boss,1620,,Handles boss death animation frame transitions,Boss,analyzed
sub_1B980,Jetsripper boss,1620,,Clears specific flags from object buffer,Sprite,analyzed
sub_1C16A,Jetsripper boss,1620,,Finds free slot in projectile buffer unrolled search,Projectile,analyzed
sub_2A79E,Jetsripper boss,1620,,Initializes projectile with type 0x88,Projectile,analyzed
sub_2BD10,Jetsripper boss,1620,,Spawns destruction explosion effect,Effect,analyzed
sub_3583C,Jetsripper boss,1620,,Handles Jetsripper rotation state with angle check,Boss,analyzed
sub_35D54,Jetsripper boss,1620,,Initializes Jetsripper death sequence with particles,Boss,analyzed
sub_35DDC,Jetsripper boss,1620,,Handles Jetsripper death fade animation,Boss,analyzed
sub_361EE,Jetsripper boss,1620,,Updates body segment with gravity physics,Boss,analyzed
sub_362CE,Jetsripper boss,1620,,Creates Jetsripper projectile with trajectory,Boss,analyzed
sub_36368,Jetsripper boss,1620,,Updates projectile with bouncing logic,Boss,analyzed
sub_B026,Jetsripper boss,1800,,Initializes victory text display sequence,Text,analyzed
sub_B03A,Jetsripper boss,1800,,Starts weapon acquired animation sequence,Text,analyzed
sub_B088,Jetsripper boss,1800,,Animates rotating text with fade effect,Text,analyzed
sub_B0B6,Jetsripper boss,1800,,Animates rotation stopping sequence,Text,analyzed
sub_B0D8,Jetsripper boss,1800,,Completes animation and plays appropriate sound,Text,analyzed
sub_B1E0,Jetsripper boss,1800,,Renders text sprites with tile loading,Text,analyzed
sub_B22C,Jetsripper boss,1800,,Positions vertical text sprite column,Text,analyzed
sub_B268,Jetsripper boss,1800,,Calculates coordinates for rotating text effect,Text,analyzed
sub_C910,Jetsripper boss,1800,,Camera handler checking boss presence,Camera,analyzed
sub_10086,Jetsripper boss,1800,,Updates camera position towards player,Camera,analyzed
sub_10114,Jetsripper boss,1800,,Smoothly follows player with speed limits,Camera,analyzed
sub_103DC,Jetsripper boss,1800,,Triggers transition to next stage phase,Stage,analyzed
sub_1C288,Jetsripper boss,1800,,Clears all objects except specified types,Sprite,analyzed
sub_AEE4,Stage 2,1980,,Displays score counter with animation,UI,analyzed
sub_B136,Stage 2,1980,,Animates text rising upward,Text,analyzed
sub_B156,Stage 2,1980,,Pauses before final exit animation,Text,analyzed
sub_B16C,Stage 2,1980,,Animates text exiting upward,Text,analyzed
sub_B18C,Stage 2,1980,,Finalizes animation and saves weapon score,Text,analyzed
sub_C922,Stage 2,1980,,Stage 2 camera with transition check,Camera,analyzed
sub_C92E,Stage 2,1980,,Camera with auto-scroll and phase transition,Camera,analyzed
sub_103B0,Stage 2,1980,,Initializes transition between stage sections,Stage,analyzed
sub_11EAA,Stage 2,1980,,Loads stage palette and tile data,Stage,analyzed
sub_15632,Stage 2,1980,,Toggles player direction flag with sound,Player,analyzed
sub_163D2,Stage 2,1980,,Initializes player landing state after air,Player,analyzed
sub_16402,Stage 2,1980,,Main handler for player dash state with counter and input checks,Player,analyzed
sub_16782,Stage 2,1980,,Initializes wall kick state from button input,Player,analyzed
sub_16B5C,Stage 2,1980,,Updates player direction bit from controller state,Player,analyzed
sub_16BCE,Stage 2,1980,,Calculates player center position from hitbox bounds,Player,analyzed
